Product Name,SKU,Color,Size,Material,URL
"Peugeot Antique Bistro 1874 Pepper Mill, 12cmPeugeot Antique Bistro 1874 Pepper Mill, 12cm",100789,Antique Finish,12cm,Wood,https://peugeotmillsaustralia.com.au/products/peugeot-antique-bistro-1874-pepper-mill-12cm
"Peugeot Isen Long Pepper Mill, 16cmPeugeot Isen Long Pepper Mill, 16cm",100578,Natural Wood,16cm,Wood,https://peugeotmillsaustralia.com.au/products/peugeot-isen-long-pepper-mill-16cm
"Peugeot Isen u'Select Pepper Mill with Crank Handle, 18cmPeugeot Isen u'Select Pepper Mill with Crank Handle, 18cm",100575,Natural Wood,18cm,Wood,https://peugeotmillsaustralia.com.au/products/peugeot-isen-uselect-pepper-mill-with-crank-handle-18cm
"Peugeot Daman Electric u'Select Salt & Pepper Mills Duo, 16cmPeugeot Daman Electric u'Select Salt & Pepper Mills Duo, 16cm",100559,Iridescent Black,16cm,Stainless Steel,https://peugeotmillsaustralia.com.au/products/peugeot-daman-electric-uselect-salt-pepper-mills-duo-16cm
"Peugeot Daman Electric u'Select Pepper Mill, 16cmPeugeot Daman Electric u'Select Pepper Mill, 16cm",100556,Iridescent Black,16cm,Stainless Steel,https://peugeotmillsaustralia.com.au/products/peugeot-daman-electric-uselect-pepper-mill-16cm
"Peugeot Zeli Electric Pepper Mill, 14 cmPeugeot Zeli Electric Pepper Mill, 14 cm",100553,Stainless Steel,14cm,ABS,https://peugeotmillsaustralia.com.au/products/peugeot-zeli-electric-pepper-mill-14-cm
"Peugeot Elis Sense u'Select Electric Salt & Pepper Mills Duo, 20cmPeugeot Elis Sense u'Select Electric Salt & Pepper Mills Duo, 20cm",100552,Stainless Steel,20cm,Stainless Steel,https://peugeotmillsaustralia.com.au/products/peugeot-elis-sense-uselect-electric-salt-pepper-mills-duo-20cm
"Peugeot Line Night Electric Zirlion u'Select Salt & Pepper Mill Gift Set, 15cmPeugeot Line Night Electric Zirlion u'Select Salt & Pepper Mill Gift Set, 15cm",100549,Black Aluminium,15cm,Aluminium,https://peugeotmillsaustralia.com.au/products/peugeot-line-night-electric-z-uselect-salt-pepper-mill-gift-set-15cm
"Peugeot Line Electric Pepper Mill, 15cmPeugeot Line Electric Pepper Mill, 15cm",100545,Carbon,15cm,Aluminium,https://peugeotmillsaustralia.com.au/products/peugeot-line-electric-pepper-mill-15cm
"Peugeot Paris Prestige Pepper Mill, 110cmPeugeot Paris Prestige Pepper Mill, 110cm",100542,Black Lacquered,110cm,Wood,https://peugeotmillsaustralia.com.au/products/peugeot-paris-prestige-pepper-mill-110cm
"Peugeot Lalique Salt & Pepper Mills Duo, 9cmPeugeot Lalique Salt & Pepper Mills Duo, 9cm",100541,Crystal,9cm,Lalique Crystal,https://peugeotmillsaustralia.com.au/products/peugeot-lalique-salt-pepper-mills-duo-9cm
"Peugeot Palace Pepper Mill, 10cmPeugeot Palace Pepper Mill, 10cm",100537,Aged Wood,10cm,Silver Plated Metal and Wood,https://peugeotmillsaustralia.com.au/products/peugeot-palace-pepper-mill-10cm
"Peugeot Mignonnette Pepper Mill, 10cmPeugeot Mignonnette Pepper Mill, 10cm",100535,Silver,10cm,Silver Plated Metal,https://peugeotmillsaustralia.com.au/products/peugeot-mignonnette-pepper-mill-10cm
"Peugeot Vittel Pepper Mill, 23cmPeugeot Vittel Pepper Mill, 23cm",100527,Transparent,23cm,Acrylic,https://peugeotmillsaustralia.com.au/products/peugeot-vittel-pepper-mill-23cm
"Peugeot Vittel Pepper Mill, 16cmPeugeot Vittel Pepper Mill, 16cm",100525,Transparent,16cm,Acrylic,https://peugeotmillsaustralia.com.au/products/peugeot-vittel-pepper-mill-16-cm
"Peugeot Pontarlier Pepper Mill and Salt Shaker, 15cmPeugeot Pontarlier Pepper Mill and Salt Shaker, 15cm",100524,Transparent,15cm,Acrylic,https://peugeotmillsaustralia.com.au/products/peugeot-pontarlier-pepper-mill-and-salt-shaker-15cm
"Peugeot Chaumont Pepper Mill, 11cmPeugeot Chaumont Pepper Mill, 11cm",100522,Transparent,11cm,Acrylic,https://peugeotmillsaustralia.com.au/products/peugeot-chaumont-pepper-mill-11cm
"Peugeot Baltic Pepper Mill, 8cmPeugeot Baltic Pepper Mill, 8cm",100520,Transparent,8cm,Acrylic,https://peugeotmillsaustralia.com.au/products/peugeot-balitc-pepper-mill-8cm
"Peugeot Royan Pepper Mill, 14cmPeugeot Royan Pepper Mill, 14cm",100515,Metallic Grey,14cm,Wood,https://peugeotmillsaustralia.com.au/products/peugeot-royan-pepper-mill-14cm
"Peugeot Oslo Wet Salt & Pepper Mills Duo, 14cmPeugeot Oslo Wet Salt & Pepper Mills Duo, 14cm",100511,Transparent,14cm,Acrylic & Stainless Steel,https://peugeotmillsaustralia.com.au/products/peugeot-oslo-wet-salt-pepper-mills-duo-14cm
"Peugeot Oslo Pepper Mill, 14cmPeugeot Oslo Pepper Mill, 14cm",100507,Transparent,14cm,Acrylic & Stainless Steel,https://peugeotmillsaustralia.com.au/products/peugeot-oslo-pepper-mill-14cm
"Peugeot Molène Pepper Mill, 14cmPeugeot Molène Pepper Mill, 14cm",100496,White,14cm,Acrylic,https://peugeotmillsaustralia.com.au/products/peugeot-molene-pepper-mill-14cm
"Peugeot Ouessant Pepper Mill, 14cmPeugeot Ouessant Pepper Mill, 14cm",100493,Transparent,14cm,Acrylic & Stainless Steel,https://peugeotmillsaustralia.com.au/products/peugeot-ouessant-pepper-mill-14cm
"Peugeot Oléron Pepper Mill, 14cmPeugeot Oléron Pepper Mill, 14cm",100485,Chocolate,14cm,Acrylic & Wood,https://peugeotmillsaustralia.com.au/products/peugeot-oleron-pepper-mill-14cm
"Peugeot Bali Pepper Mill, 8cmPeugeot Bali Pepper Mill, 8cm",100472,Black,8cm,Acrylic,https://peugeotmillsaustralia.com.au/products/peugeot-bali-pepper-mill-8cm
